media_id,selected_rank,target_bbox,crop_bbox,target_instance,raster_sha256,shape,status,raster_relpath
IMG_007350,1,"[598.911,189.18,1296.541,737.65]","[0.0,0.0,1920.0,1080.0]",0,375a76da0afd87069687b4e52211ac09a7c8b98191c7356d5d5fd54f13bd5918,4x96x96,VALID_TARGET,_local_rasters/IMG_007350__r01.npy
IMG_007355,1,"[447.61,168.868,1357.229,707.876]","[0.0,0.0,1920.0,1080.0]",0,7e8e10de3bb1f5f7425fbe1f813cbad609452dd471604e5a3af222d98ba5b7d9,4x96x96,VALID_TARGET,_local_rasters/IMG_007355__r01.npy
IMG_007357,1,"[665.745,131.485,1554.217,707.123]","[0.0,0.0,1920.0,1080.0]",0,76ce4b23562cea45d8855f99ae40da50ca2d123539db541c79ef0434e1f68d85,4x96x96,VALID_TARGET,_local_rasters/IMG_007357__r01.npy
IMG_007358,1,"[677.752,159.636,1187.195,644.409]","[168.30899999999997,0.0,1696.638,1007.98875]",0,76b085684b4484881a364007c3b987adfbe9672e2a8159964d6469e3ff2f0920,4x96x96,VALID_TARGET,_local_rasters/IMG_007358__r01.npy
IMG_007359,1,"[433.557,19.645,1363.768,693.214]","[0.0,0.0,1920.0,1080.0]",0,e43ab19599945f749c887dae4736b89ab0d1ff7512c4b060affc22559e420dbf,4x96x96,VALID_TARGET,_local_rasters/IMG_007359__r01.npy
IMG_007359,2,"[431.227,24.115,1363.002,691.374]","[0.0,0.0,1920.0,1080.0]",0,e43ab19599945f749c887dae4736b89ab0d1ff7512c4b060affc22559e420dbf,4x96x96,VALID_TARGET,_local_rasters/IMG_007359__r02.npy
IMG_007360,1,"[691.802,58.213,1442.537,681.608]","[0.0,0.0,1920.0,1080.0]",0,b1f925a796ceb78025568ecaba9657b81ba7363cad4cabd7bf525ed98568af2d,4x96x96,VALID_TARGET,_local_rasters/IMG_007360__r01.npy
IMG_007361,1,"[423.346,95.629,1416.277,704.553]","[0.0,0.0,1920.0,1080.0]",0,0ed13a6adbe42ab28b7c8bcb1a771f3df09a9d25ca3965e8004c8109072652c9,4x96x96,VALID_TARGET,_local_rasters/IMG_007361__r01.npy
IMG_007361,2,"[423.346,96.641,1417.215,704.515]","[0.0,0.0,1920.0,1080.0]",0,0ed13a6adbe42ab28b7c8bcb1a771f3df09a9d25ca3965e8004c8109072652c9,4x96x96,VALID_TARGET,_local_rasters/IMG_007361__r02.npy
IMG_007363,1,"[598.57,181.389,1316.243,696.498]","[0.0,0.0,1920.0,1080.0]",0,179a6dcbcba9fa4045d7dc157f4ff94f5823c11cae9ad9eadaa6114b3e88ddaf,4x96x96,VALID_TARGET,_local_rasters/IMG_007363__r01.npy
IMG_007364,1,"[242.259,122.129,1364.877,792.513]","[0.0,0.0,1920.0,1080.0]",0,874fe9c187bda488b2b5e6116a42869f4b35c63b25482f2bf7e311a6236192da,4x96x96,VALID_TARGET,_local_rasters/IMG_007364__r01.npy
IMG_007367,1,"[277.649,149.424,1326.196,822.936]","[0.0,0.0,1920.0,1080.0]",0,0b42e1de501c5cb642a6270e14291b869a766bac3ec0ac44953aca528f673b81,4x96x96,VALID_TARGET,_local_rasters/IMG_007367__r01.npy
IMG_007370,1,"[485.394,187.227,1400.677,869.86]","[0.0,0.0,1920.0,1080.0]",0,d6d2c65568dbdf9a689b0b8cd77ae22e4dc8cd3fefee8196999fcb1c5fba9c98,4x96x96,VALID_TARGET,_local_rasters/IMG_007370__r01.npy
IMG_007371,1,"[358.052,149.789,1376.304,813.684]","[0.0,0.0,1920.0,1080.0]",0,402cc3753b5a7cabc9a36b1dcffc50e65bee90430fce7511bcd9646490f61981,4x96x96,VALID_TARGET,_local_rasters/IMG_007371__r01.npy
IMG_007374,1,"[377.385,64.958,1430.588,788.182]","[0.0,0.0,1920.0,1080.0]",0,1e0a4b8cf984f54608dd711634c1f2c1617cd17f0a88a28169f7f0ea134e5c7a,4x96x96,VALID_TARGET,_local_rasters/IMG_007374__r01.npy
IMG_007377,1,"[559.242,229.09,1555.371,786.462]","[0.0,0.0,1920.0,1080.0]",0,1b78e1f2d6ec7f6daa1422efe6939ab3c2d5189442154a0a0ac526fa41a3fc63,4x96x96,VALID_TARGET,_local_rasters/IMG_007377__r01.npy
IMG_007379,1,"[398.115,43.474,1509.594,737.34]","[0.0,0.0,1920.0,1080.0]",0,34caa390ab8fc7474c14062f38a73e137121660ba32ba15a3fbfd775873b72f7,4x96x96,VALID_TARGET,_local_rasters/IMG_007379__r01.npy
IMG_007383,1,"[522.173,92.758,1330.509,764.22]","[0.0,0.0,1920.0,1080.0]",1,f1f343338375349779ce3aca02fad69ec568dee00e6889f0fc7ba1c30727e434,4x96x96,VALID_TARGET,_local_rasters/IMG_007383__r01.npy
IMG_007383,2,"[525.411,256.077,1327.517,760.403]","[0.0,0.0,1920.0,1080.0]",1,f1f343338375349779ce3aca02fad69ec568dee00e6889f0fc7ba1c30727e434,4x96x96,VALID_TARGET,_local_rasters/IMG_007383__r02.npy
IMG_007384,1,"[380.098,90.078,1545.355,866.4]","[0.0,0.0,1920.0,1080.0]",0,ad747dee730113a9b326a92054e114b5400a68c275351c49066185d1a316a133,4x96x96,VALID_TARGET,_local_rasters/IMG_007384__r01.npy
IMG_007385,1,"[379.408,131.521,1482.066,849.891]","[0.0,0.0,1920.0,1080.0]",0,5028107d346a3c08714027701ca9fa3b6889f298a1c29fe61b59c033add07628,4x96x96,VALID_TARGET,_local_rasters/IMG_007385__r01.npy
IMG_007388,1,"[488.42,200.034,1385.829,885.899]","[0.0,0.0,1920.0,1080.0]",0,aeac65c2e1bc2d3fd24e33dafe7e5b11911c6fac574a71b45d71a87c0f887868,4x96x96,VALID_TARGET,_local_rasters/IMG_007388__r01.npy
IMG_007389,1,"[512.185,151.877,1565.284,797.376]","[0.0,0.0,1920.0,1080.0]",0,85410502f3b4558a8a42cd97e3d36cf3baa372a2007cfa85453152fbee3f5e21,4x96x96,VALID_TARGET,_local_rasters/IMG_007389__r01.npy
IMG_007392,1,"[504.002,181.538,1352.745,645.653]","[0.0,0.0,1920.0,993.7392500000001]",0,186f9af32bd13683311ad91e86dbffcdd46d5422f075a62f3b18744a194cf86c,4x96x96,VALID_TARGET,_local_rasters/IMG_007392__r01.npy
IMG_007393,1,"[695.353,64.715,1228.381,480.342]","[162.32499999999982,0.0,1761.409,792.06225]",0,52f7b92ac6ccfdad8a0f2b658a7e71e253be13153655e68a34be3cfe09b4f261,4x96x96,VALID_TARGET,_local_rasters/IMG_007393__r01.npy
IMG_007394,1,"[516.455,237.24,1338.368,616.955]","[0.0,0.0,1920.0,901.74125]",0,3508155b80d1b8a0c23964c642890ec856ccabb1b26e3d13ea936359e246c5c1,4x96x96,VALID_TARGET,_local_rasters/IMG_007394__r01.npy
IMG_007396,1,"[594.421,203.39,1287.154,755.627]","[0.0,0.0,1920.0,1080.0]",0,0820e41d50e1a7dfca38af8a17a681c774931d06f2618a6c652e9d91267826f4,4x96x96,VALID_TARGET,_local_rasters/IMG_007396__r01.npy
IMG_007396,2,"[1.13,243.562,421.286,776.499]","[0.0,0.0,841.442,1080.0]",1,a2b194a37c097662c3e624ee968a92bfb110d0163345556bf1772449cd3fe957,4x96x96,VALID_TARGET,_local_rasters/IMG_007396__r02.npy
IMG_007399,1,"[522.168,199.429,1388.287,677.514]","[0.0,0.0,1920.0,1036.07775]",0,756f24aab5cd4203139e3095cc4e946684aefc5ebd1a3d0f4c3baa16c7a4f516,4x96x96,VALID_TARGET,_local_rasters/IMG_007399__r01.npy
IMG_007400,1,"[592.858,136.16,1190.752,742.506]","[0.0,0.0,1788.646,1080.0]",0,ba9458190a4e90c7e656c3a6b36d2ebdb8d5b9ca27ae366725832bd049902cee,4x96x96,VALID_TARGET,_local_rasters/IMG_007400__r01.npy
IMG_007404,1,"[581.999,250.291,1409.614,771.255]","[0.0,0.0,1920.0,1080.0]",0,af11dd2f2b6e6bd8854b89b5c135a77a46ed5906d72c9c970848d64488921672,4x96x96,VALID_TARGET,_local_rasters/IMG_007404__r01.npy
IMG_007404,2,"[584.057,252.461,1409.364,767.337]","[0.0,0.0,1920.0,1080.0]",0,af11dd2f2b6e6bd8854b89b5c135a77a46ed5906d72c9c970848d64488921672,4x96x96,VALID_TARGET,_local_rasters/IMG_007404__r02.npy
