media_id,fold,gt,gt_binary,frame_logit,frame_probability,valid_target_count,status,target_probabilities,group_key,winner_threshold,strict_prediction
IMG_007520,1,positive,1,0.4709829092025757,0.6156163811683655,1,SCORABLE,"[{""selected_rank"":1,""target_probability"":0.6156163811683655}]",p01-outside-legal-bay-clear,,N/A_NO_SAFE_THRESHOLD
IMG_007521,2,positive,1,0.7058026194572449,0.6694729924201965,1,SCORABLE,"[{""selected_rank"":1,""target_probability"":0.6694729924201965}]",p01-outside-legal-bay-clear,,N/A_NO_SAFE_THRESHOLD
IMG_007527,3,positive,1,-0.08971202373504639,0.4775870442390442,2,SCORABLE,"[{""selected_rank"":1,""target_probability"":0.4775870442390442},{""selected_rank"":2,""target_probability"":0.4642464220523834}]",p01-outside-legal-bay-clear,,N/A_NO_SAFE_THRESHOLD
IMG_007530,0,positive,1,-0.9803081750869751,0.27283063530921936,2,SCORABLE,"[{""selected_rank"":1,""target_probability"":0.2451932430267334},{""selected_rank"":2,""target_probability"":0.27283063530921936}]",p01-outside-legal-bay-clear,,N/A_NO_SAFE_THRESHOLD
IMG_007531,1,positive,1,1.0016424655914307,0.731381356716156,1,SCORABLE,"[{""selected_rank"":1,""target_probability"":0.731381356716156}]",p01-outside-legal-bay-clear,,N/A_NO_SAFE_THRESHOLD
IMG_007533,3,positive,1,1.063759684562683,0.7434083819389343,1,SCORABLE,"[{""selected_rank"":1,""target_probability"":0.7434083819389343}]",p01-outside-legal-bay-clear,,N/A_NO_SAFE_THRESHOLD
IMG_007534,4,positive,1,0.6465671062469482,0.656236469745636,1,SCORABLE,"[{""selected_rank"":1,""target_probability"":0.656236469745636}]",p01-outside-legal-bay-clear,,N/A_NO_SAFE_THRESHOLD
IMG_007539,2,positive,1,1.1393979787826538,0.7575690746307373,1,SCORABLE,"[{""selected_rank"":1,""target_probability"":0.7575690746307373}]",p01-outside-legal-bay-clear,,N/A_NO_SAFE_THRESHOLD
IMG_007541,0,positive,1,-0.20361188054084778,0.44927212595939636,1,SCORABLE,"[{""selected_rank"":1,""target_probability"":0.44927212595939636}]",p01-outside-legal-bay-clear,,N/A_NO_SAFE_THRESHOLD
IMG_007542,1,positive,1,1.1364519596099854,0.7570276260375977,1,SCORABLE,"[{""selected_rank"":1,""target_probability"":0.7570276260375977}]",p01-outside-legal-bay-clear,,N/A_NO_SAFE_THRESHOLD
IMG_007547,3,positive,1,-0.31850406527519226,0.4210403859615326,1,SCORABLE,"[{""selected_rank"":1,""target_probability"":0.4210403859615326}]",p01-outside-legal-bay-clear,,N/A_NO_SAFE_THRESHOLD
IMG_007548,2,positive,1,0.7254987359046936,0.6738167405128479,1,SCORABLE,"[{""selected_rank"":1,""target_probability"":0.6738167405128479}]",p01-outside-legal-bay-clear,,N/A_NO_SAFE_THRESHOLD
IMG_007549,4,positive,1,0.6324708461761475,0.6530495285987854,1,SCORABLE,"[{""selected_rank"":1,""target_probability"":0.6530495285987854}]",p01-outside-legal-bay-clear,,N/A_NO_SAFE_THRESHOLD
IMG_007552,4,positive,1,0.5888468027114868,0.6431005001068115,1,SCORABLE,"[{""selected_rank"":1,""target_probability"":0.6431005001068115}]",p01-outside-legal-bay-clear,,N/A_NO_SAFE_THRESHOLD
IMG_007554,0,positive,1,-0.35626140236854553,0.41186484694480896,1,SCORABLE,"[{""selected_rank"":1,""target_probability"":0.41186484694480896}]",p01-outside-legal-bay-clear,,N/A_NO_SAFE_THRESHOLD
IMG_007555,1,positive,1,0.9624132513999939,0.7236047387123108,1,SCORABLE,"[{""selected_rank"":1,""target_probability"":0.7236047387123108}]",p01-outside-legal-bay-clear,,N/A_NO_SAFE_THRESHOLD
IMG_007556,2,positive,1,1.2511699199676514,0.7775023579597473,2,SCORABLE,"[{""selected_rank"":1,""target_probability"":0.7775023579597473},{""selected_rank"":2,""target_probability"":0.7765845656394958}]",p01-outside-legal-bay-clear,,N/A_NO_SAFE_THRESHOLD
IMG_007558,3,positive,1,1.2064235210418701,0.769665539264679,1,SCORABLE,"[{""selected_rank"":1,""target_probability"":0.769665539264679}]",p01-outside-legal-bay-clear,,N/A_NO_SAFE_THRESHOLD
