media_id,selected_rank,frozen_bbox,matched_instance,matched_class,matched_conf,bbox_iou,center_inside,mask_area,match_status
IMG_007533,1,"[249.751,123.825,852.259,470.224]",0,vehicle,0.9737496972084045,0.9851481932170084,True,151650.0,MATCHED
IMG_007556,1,"[299.703,248.408,1034.093,702.677]",0,vehicle,0.9716910719871521,0.9800008221118642,True,224784.0,MATCHED
IMG_007556,2,"[298.809,247.915,1031.182,702.985]",0,vehicle,0.9716910719871521,0.978008019205933,True,224784.0,MATCHED
IMG_007524,1,"[328.011,239.123,1070.167,626.419]",0,vehicle,0.9745340943336487,0.9797324874493968,True,211167.0,MATCHED
IMG_007542,1,"[369.182,263.367,1128.34,668.339]",0,vehicle,0.978477418422699,0.9844382619806612,True,215280.0,MATCHED
IMG_007535,1,"[699.814,215.514,1047.013,483.757]",0,vehicle,0.9148889183998108,0.9645453630013433,True,72526.5,MATCHED
IMG_007530,1,"[436.324,136.107,1098.456,497.295]",0,vehicle,0.9610670208930969,0.9314218809513446,True,157896.0,MATCHED
IMG_007530,2,"[436.42,137.121,1097.066,495.519]",0,vehicle,0.9610670208930969,0.9407840356729809,True,157896.0,MATCHED
IMG_007534,1,"[353.189,266.558,1050.277,618.707]",0,vehicle,0.9726337194442749,0.9853966196265744,True,175306.5,MATCHED
IMG_007536,1,"[652.45,236.014,1386.36,660.44]",0,vehicle,0.9767250418663025,0.9825774973120828,True,220257.0,MATCHED
IMG_007529,1,"[374.326,130.979,867.24,549.672]",0,vehicle,0.9673125743865967,0.977452297580791,True,171427.5,MATCHED
IMG_007551,1,"[369.211,100.279,932.176,463.0]",0,vehicle,0.9669682383537292,0.9711284595205255,True,149022.0,MATCHED
IMG_007612,1,"[651.083,232.256,1236.662,695.594]",0,vehicle,0.9515970945358276,0.9734170202562916,True,217746.0,MATCHED
IMG_007602,1,"[496.297,70.401,1396.738,605.756]",0,vehicle,0.9696374535560608,0.9756298933408574,True,334156.5,MATCHED
IMG_007617,1,"[605.173,195.178,1237.908,651.629]",0,vehicle,0.9676936268806458,0.9617865338323192,True,222300.0,MATCHED
IMG_007608,1,"[497.487,68.458,1465.316,671.169]",0,vehicle,0.9589229226112366,0.9590371780948338,True,399780.0,MATCHED
IMG_007620,1,"[641.167,153.639,1292.934,563.003]",0,vehicle,0.9715439677238464,0.980537602208636,True,197383.5,MATCHED
IMG_007621,1,"[627.944,120.81,1251.55,639.417]",0,vehicle,0.9597354531288147,0.9674234939512785,True,262111.5,MATCHED
IMG_007599,1,"[478.289,257.261,1252.821,754.92]",0,vehicle,0.9688868522644043,0.9876993768044932,True,268321.5,MATCHED
IMG_007599,2,"[1.058,357.314,588.484,743.507]",1,vehicle,0.9621768593788147,0.9553150926076265,True,141898.5,MATCHED
IMG_007615,1,"[671.026,243.992,1229.191,709.428]",0,vehicle,0.9680169224739075,0.9697230760985297,True,211239.0,MATCHED
IMG_007610,1,"[604.532,205.74,1374.533,645.969]",0,vehicle,0.9727767705917358,0.967790094565519,True,239998.5,MATCHED
IMG_007610,2,"[1565.837,181.41,1918.734,466.714]",1,vehicle,0.9209374189376831,0.9114966716397019,True,84546.0,MATCHED
IMG_007598,1,"[493.96,198.591,1351.476,703.927]",0,vehicle,0.9717992544174194,0.9787464195959759,True,298939.5,MATCHED
IMG_007569,1,"[305.743,76.453,1404.328,832.037]",0,vehicle,0.9704182744026184,0.9762723359458286,True,585108.0,MATCHED
IMG_007634,1,"[413.528,223.02,1458.446,793.031]",0,vehicle,0.9642104506492615,0.8398569980479994,True,334237.5,MATCHED
IMG_007634,2,"[414.645,223.422,1458.743,793.222]",0,vehicle,0.9642104506492615,0.8408278417358751,True,334237.5,MATCHED
IMG_007559,1,"[596.395,39.437,1402.525,676.523]",0,vehicle,0.9714709520339966,0.9744765922699855,True,417685.5,MATCHED
IMG_007574,1,"[545.348,83.497,1187.562,661.619]",0,vehicle,0.9687490463256836,0.9730334560236348,True,309051.0,MATCHED
IMG_007650,1,"[626.288,148.24,1120.072,548.963]",0,vehicle,0.9636234641075134,0.9582103193077717,True,159840.0,MATCHED
IMG_007650,2,"[139.883,203.056,593.407,477.501]",1,vehicle,0.9536776542663574,0.9581978281088045,True,94693.5,MATCHED
IMG_007570,1,"[422.983,130.986,1389.139,760.799]",0,vehicle,0.9776197671890259,0.9819644015707449,True,444694.5,MATCHED
IMG_007625,1,"[441.171,54.977,1466.221,631.204]",0,vehicle,0.9783343076705933,0.9801306197815405,True,403519.5,MATCHED
IMG_007587,1,"[305.6,132.344,1397.741,867.779]",0,vehicle,0.9745748043060303,0.9737558066110549,True,562941.0,MATCHED
IMG_007587,2,"[156.151,100.761,617.095,405.279]",5,vehicle,0.7780464887619019,0.9233599915133789,True,111298.5,MATCHED
IMG_007658,1,"[626.814,185.79,1521.007,696.936]",0,vehicle,0.9710825085639954,0.9511436242874105,True,298327.5,MATCHED
IMG_007633,1,"[614.274,204.888,1609.922,712.647]",0,vehicle,0.9640107750892639,0.8478052726667678,True,291042.0,MATCHED
IMG_007450,1,"[551.435,169.836,1445.386,743.58]",0,vehicle,0.9707427024841309,0.9793262904112894,True,366327.0,MATCHED
IMG_007446,1,"[417.079,128.024,1578.181,910.623]",1,vehicle,0.9673275947570801,0.9666167124612858,True,631269.0,MATCHED
IMG_007453,1,"[433.771,106.918,1067.94,770.647]",0,vehicle,0.9530686140060425,0.9782174466606849,True,352948.5,MATCHED
IMG_007405,1,"[455.322,249.549,1414.987,768.222]",0,vehicle,0.9681687355041504,0.926782385334233,True,309267.0,MATCHED
IMG_007445,1,"[587.94,146.82,1193.024,681.555]",0,vehicle,0.9669321179389954,0.9771337643447917,True,263821.5,MATCHED
IMG_007445,2,"[587.536,148.156,1192.087,681.67]",0,vehicle,0.9669321179389954,0.9753426730173417,True,263821.5,MATCHED
IMG_007435,1,"[636.967,104.226,1410.607,671.204]",0,vehicle,0.9746648669242859,0.9850702056728984,True,340303.5,MATCHED
IMG_007425,1,"[592.925,318.074,1511.929,773.599]",0,vehicle,0.9664077758789062,0.9933591037761618,True,287185.5,MATCHED
IMG_007428,1,"[613.369,116.865,1413.735,697.249]",0,vehicle,0.9717258214950562,0.9788462952999543,True,335146.5,MATCHED
IMG_007404,1,"[581.999,250.291,1409.614,771.255]",0,vehicle,0.9705990552902222,0.9705803836203214,True,284517.0,MATCHED
IMG_007404,2,"[584.057,252.461,1409.364,767.337]",0,vehicle,0.9705990552902222,0.9805995309883128,True,284517.0,MATCHED
IMG_007413,1,"[546.967,220.067,1452.919,727.948]",0,vehicle,0.968962550163269,0.983499456167945,True,332392.5,MATCHED
IMG_007413,2,"[1289.854,187.029,1918.805,628.795]",1,vehicle,0.9622534513473511,0.9712850160351061,True,189801.0,MATCHED
IMG_007361,1,"[423.346,95.629,1416.277,704.553]",0,vehicle,0.9680283069610596,0.9502298977241589,True,395689.5,MATCHED
IMG_007361,2,"[423.346,96.641,1417.215,704.515]",0,vehicle,0.9680283069610596,0.9509728967962021,True,395689.5,MATCHED
IMG_007392,1,"[504.002,181.538,1352.745,645.653]",0,vehicle,0.9725620150566101,0.9810730308734882,True,277294.5,MATCHED
IMG_007359,1,"[433.557,19.645,1363.768,693.214]",0,vehicle,0.967309296131134,0.96415003638624,True,419913.0,MATCHED
IMG_007359,2,"[431.227,24.115,1363.002,691.374]",0,vehicle,0.967309296131134,0.9716339694589844,True,419913.0,MATCHED
IMG_007397,1,"[417.147,135.406,1459.832,746.598]",0,vehicle,0.9666070938110352,0.978686532686109,True,437427.0,MATCHED
IMG_007397,2,"[72.632,143.479,785.691,512.764]",1,vehicle,0.9594711065292358,0.9203050141661395,True,148576.5,MATCHED
IMG_007350,1,"[598.911,189.18,1296.541,737.65]",0,vehicle,0.9654540419578552,0.9724549600461403,True,305581.5,MATCHED
IMG_007396,1,"[594.421,203.39,1287.154,755.627]",0,vehicle,0.9705933332443237,0.97263024989195,True,305149.5,MATCHED
IMG_007396,2,"[1.13,243.562,421.286,776.499]",1,vehicle,0.9449713230133057,0.9051201843620028,True,142906.5,MATCHED
IMG_007376,1,"[428.725,127.238,1323.229,783.013]",0,vehicle,0.9736951589584351,0.9655580990425022,True,473449.5,MATCHED
IMG_007366,1,"[619.044,154.471,1300.536,725.953]",0,vehicle,0.968481183052063,0.9787964592837836,True,320310.0,MATCHED
IMG_007354,1,"[535.625,150.792,1369.653,673.372]",0,vehicle,0.9801616072654724,0.9807412710512179,True,313141.5,MATCHED
IMG_007387,1,"[1.646,259.783,470.708,1011.559]",1,vehicle,0.8934166431427002,0.932444682131489,True,292356.0,MATCHED
IMG_007387,2,"[493.718,268.26,1216.06,745.895]",0,vehicle,0.9575042128562927,0.9707253240115593,True,250708.5,MATCHED
IMG_007654,1,"[402.04,161.323,1212.914,740.715]",0,vehicle,0.973188579082489,0.9683082768511838,True,338121.0,MATCHED
IMG_007654,2,"[402.847,159.557,1211.793,738.711]",0,vehicle,0.973188579082489,0.9745672076035423,True,338121.0,MATCHED
IMG_007637,1,"[533.467,184.688,1411.861,729.577]",0,vehicle,0.973060667514801,0.9774559191760107,True,332851.5,MATCHED
IMG_007562,1,"[609.445,247.62,1257.898,756.398]",0,vehicle,0.9665223360061646,0.9700315210387108,True,268690.5,MATCHED
IMG_007576,1,"[464.213,106.703,1313.537,748.918]",0,vehicle,0.9719870686531067,0.9342328344624413,True,405319.5,MATCHED
IMG_007629,1,"[531.116,220.717,1278.448,710.137]",0,vehicle,0.9739790558815002,0.9697463832804413,True,262422.0,MATCHED
IMG_007626,1,"[488.829,137.982,1299.594,750.641]",0,vehicle,0.963376522064209,0.9818664449241742,True,401197.5,MATCHED
IMG_007644,1,"[497.583,88.905,1654.974,727.493]",0,vehicle,0.9705597162246704,0.9723688569785603,True,500485.5,MATCHED
IMG_007583,1,"[738.297,127.122,1423.888,726.164]",0,vehicle,0.966627299785614,0.9751144471300929,True,329926.5,MATCHED
IMG_007593,1,"[378.612,50.12,1422.04,658.557]",0,vehicle,0.9769580364227295,0.9795180346723331,True,460377.0,MATCHED
IMG_007664,1,"[743.31,339.134,1430.939,736.042]",0,vehicle,0.9494455456733704,0.962260743046944,True,181476.0,MATCHED
IMG_007664,2,"[1545.266,360.108,1918.73,788.312]",2,vehicle,0.9313977956771851,0.9642432337998122,True,130711.5,MATCHED
IMG_007322,1,"[715.432,439.608,1285.218,730.941]",0,vehicle,0.9656442999839783,0.9775309542592358,True,119475.0,MATCHED
IMG_007343,1,"[841.397,403.088,1720.619,926.171]",0,vehicle,0.9736050963401794,0.9812579474662432,True,331434.0,MATCHED
IMG_007321,1,"[318.623,305.921,1127.981,739.755]",0,vehicle,0.9748526215553284,0.9734611275461403,True,246910.5,MATCHED
IMG_007326,1,"[576.182,345.477,1188.472,799.137]",0,vehicle,0.9734400510787964,0.950625371632846,True,214087.5,MATCHED
IMG_007337,1,"[191.026,291.99,1147.433,839.07]",1,vehicle,0.9656140804290771,0.9801874930877934,True,347256.0,MATCHED
IMG_007329,1,"[315.572,275.775,1176.181,919.0]",0,vehicle,0.9717957377433777,0.9627019980302497,True,440667.0,MATCHED
IMG_007329,2,"[1128.41,321.177,1302.781,625.853]",1,vehicle,0.911776602268219,0.8897746438406166,True,34479.0,MATCHED
IMG_007335,1,"[538.698,231.312,1103.697,699.85]",0,vehicle,0.9713127017021179,0.9776267176803028,True,202009.5,MATCHED
IMG_007327,1,"[317.634,308.111,1207.426,824.342]",0,vehicle,0.9711266756057739,0.9730727025264753,True,321894.0,MATCHED
IMG_007348,1,"[183.676,275.634,1062.46,770.39]",0,vehicle,0.9766031503677368,0.9740758215020621,True,309145.5,MATCHED
IMG_007348,2,"[1481.272,71.994,1863.387,519.473]",0,vehicle,0.9766031503677368,0.0,False,309145.5,MATCHED
IMG_007334,1,"[229.965,280.934,942.987,741.904]",0,vehicle,0.9702875018119812,0.9771516490791503,True,239026.5,MATCHED
