media_id,fold,gt,gt_binary,frame_logit,frame_probability,valid_target_count,status,target_probabilities
IMG_007350,0,negative,0,0.013703793287277222,0.5034258961677551,1,SCORABLE,"[{""selected_rank"":1,""target_probability"":0.5034258961677551}]"
IMG_007355,1,negative,0,0.6535474061965942,0.6578094363212585,1,SCORABLE,"[{""selected_rank"":1,""target_probability"":0.6578094363212585}]"
IMG_007357,2,negative,0,-0.23235470056533813,0.44217127561569214,1,SCORABLE,"[{""selected_rank"":1,""target_probability"":0.44217127561569214}]"
IMG_007358,3,negative,0,0.6637886762619019,0.6601109504699707,1,SCORABLE,"[{""selected_rank"":1,""target_probability"":0.6601109504699707}]"
IMG_007359,4,negative,0,0.6458920240402222,0.6560841798782349,2,SCORABLE,"[{""selected_rank"":1,""target_probability"":0.6560841798782349},{""selected_rank"":2,""target_probability"":0.6560841798782349}]"
IMG_007360,0,negative,0,-1.5291179418563843,0.17812277376651764,1,SCORABLE,"[{""selected_rank"":1,""target_probability"":0.17812277376651764}]"
IMG_007361,1,negative,0,-0.16822780668735504,0.4580419659614563,2,SCORABLE,"[{""selected_rank"":1,""target_probability"":0.4580419659614563},{""selected_rank"":2,""target_probability"":0.4580419659614563}]"
IMG_007363,3,negative,0,1.5911318063735962,0.830775260925293,1,SCORABLE,"[{""selected_rank"":1,""target_probability"":0.830775260925293}]"
IMG_007364,4,negative,0,-0.8253206610679626,0.3046354055404663,1,SCORABLE,"[{""selected_rank"":1,""target_probability"":0.3046354055404663}]"
IMG_007367,2,negative,0,-1.8407493829727173,0.1369626820087433,1,SCORABLE,"[{""selected_rank"":1,""target_probability"":0.1369626820087433}]"
IMG_007370,0,negative,0,-1.6749367713928223,0.15776708722114563,1,SCORABLE,"[{""selected_rank"":1,""target_probability"":0.15776708722114563}]"
IMG_007371,2,negative,0,-1.2399526834487915,0.2244442105293274,1,SCORABLE,"[{""selected_rank"":1,""target_probability"":0.2244442105293274}]"
IMG_007374,3,negative,0,-2.2330682277679443,0.09681999683380127,1,SCORABLE,"[{""selected_rank"":1,""target_probability"":0.09681999683380127}]"
