image_id,reference_vehicle_id,reference_label,reference_bbox,matched_vehicle_id,iou,reason_code,rule_only_label,vlm_label,final_label
IMG_007548,T01,positive_road,"[624.302, 255.076, 1332.223, 630.747]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007555,T01,positive_road,"[571.012, 214.218, 1097.829, 680.683]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007555,T05,negative_ordinary_bay,"[480.465, 276.875, 558.424, 328.165]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007555,T06,negative_ordinary_bay,"[437.828, 272.113, 543.033, 320.856]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007555,T07,negative_ordinary_bay,"[498.412, 280.521, 570.098, 327.356]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007555,T08,negative_ordinary_bay,"[535.746, 284.36, 578.583, 323.299]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007554,T01,positive_road,"[394.795, 167.425, 1090.131, 641.783]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007554,T04,negative_ordinary_bay,"[974.565, 213.267, 1270.425, 316.873]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007531,T01,positive_road,"[1043.694, 207.497, 1577.75, 555.698]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007531,T03,negative_ordinary_bay,"[1767.499, 247.83, 1825.797, 275.803]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007536,T03,negative_ordinary_bay,"[137.944, 234.973, 217.556, 268.663]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007547,T01,positive_road,"[343.408, 82.047, 1078.945, 560.339]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007547,T03,negative_ordinary_bay,"[0.021, 111.733, 59.699, 169.06]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007527,T01,positive_road,"[724.569, 146.576, 1432.192, 620.796]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007527,T03,negative_ordinary_bay,"[1591.263, 208.873, 1639.555, 249.197]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007527,T04,negative_ordinary_bay,"[1898.039, 196.961, 1919.276, 246.926]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007527,T05,negative_ordinary_bay,"[1902.0, 200.652, 1919.263, 251.906]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007529,T01,positive_road,"[374.326, 130.979, 867.24, 549.672]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007620,T04,negative_ordinary_bay,"[1703.292, 106.309, 1919.326, 220.366]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007620,T05,negative_ordinary_bay,"[1701.995, 105.986, 1918.037, 185.223]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007598,T02,negative_ordinary_bay,"[540.186, 226.758, 777.721, 342.117]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007594,T03,negative_ordinary_bay,"[1335.394, 325.527, 1456.276, 362.696]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007594,T04,negative_ordinary_bay,"[1297.125, 325.581, 1457.259, 389.403]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007594,T05,negative_ordinary_bay,"[1306.792, 325.822, 1459.055, 370.215]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007599,T01,positive_two_bays,"[478.289, 257.261, 1252.821, 754.92]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007599,T03,negative_ordinary_bay,"[0.429, 341.001, 193.027, 430.589]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007603,T02,positive_two_bays,"[712.553, 139.152, 1272.169, 694.97]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007601,T02,positive_two_bays,"[465.054, 22.062, 1428.156, 685.538]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007601,T08,negative_ordinary_bay,"[0.26, 224.009, 39.187, 334.735]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007612,T07,negative_ordinary_bay,"[498.157, 363.581, 640.131, 435.877]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007612,T09,negative_ordinary_bay,"[530.239, 373.047, 637.287, 441.64]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007621,T02,negative_ordinary_bay,"[14.724, 185.296, 305.347, 362.733]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007621,T06,negative_ordinary_bay,"[218.71, 181.268, 349.309, 262.206]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007621,T09,negative_ordinary_bay,"[1182.744, 219.664, 1249.103, 268.4]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007621,T10,negative_ordinary_bay,"[223.565, 176.061, 390.618, 260.094]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007606,T02,negative_ordinary_bay,"[216.558, 192.307, 520.832, 388.52]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007606,T03,positive_two_bays,"[603.491, 129.418, 1328.072, 763.184]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007602,T01,positive_two_bays,"[496.297, 70.401, 1396.738, 605.756]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007650,T04,positive_two_bays,"[626.288, 148.24, 1120.072, 548.963]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007655,T04,positive_two_bays,"[498.737, 120.585, 1512.048, 817.533]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007655,T05,negative_ordinary_bay,"[0.39, 212.952, 258.952, 319.221]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007652,T01,positive_road,"[512.434, 116.868, 1448.942, 744.963]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007652,T04,negative_ordinary_bay,"[0.541, 166.752, 131.689, 248.637]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007652,T05,negative_ordinary_bay,"[1857.759, 130.3, 1915.227, 172.187]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007658,T01,positive_road,"[626.814, 185.79, 1521.007, 696.936]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007658,T03,negative_ordinary_bay,"[100.603, 173.663, 422.217, 435.862]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007647,T04,negative_ordinary_bay,"[1119.83, 175.044, 1218.846, 252.805]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007665,T04,negative_ordinary_bay,"[1211.481, 132.075, 1257.217, 189.116]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007661,T04,negative_ordinary_bay,"[1679.695, 153.21, 1919.143, 250.176]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007626,T01,negative_minor_overrun,"[1517.112, 212.065, 1907.713, 443.157]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007626,T04,negative_minor_overrun,"[269.43, 254.109, 387.203, 414.207]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007626,T05,negative_minor_overrun,"[265.277, 215.095, 387.668, 413.154]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007634,T02,negative_minor_overrun,"[414.645, 223.422, 1458.743, 793.222]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007634,T04,negative_minor_overrun,"[175.117, 286.135, 269.935, 337.408]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007634,T07,negative_minor_overrun,"[345.083, 275.851, 402.825, 309.863]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007634,T09,negative_minor_overrun,"[88.522, 288.043, 197.02, 344.77]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007635,T06,negative_minor_overrun,"[1457.868, 215.33, 1711.478, 287.26]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007672,T07,negative_nose_tail_overrun,"[463.439, 125.032, 575.839, 193.412]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007672,T09,negative_nose_tail_overrun,"[1710.793, 152.85, 1891.305, 215.783]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007672,T10,negative_nose_tail_overrun,"[573.252, 127.327, 721.596, 190.559]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007672,T11,negative_nose_tail_overrun,"[135.584, 109.175, 252.824, 175.818]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
IMG_007672,T12,negative_nose_tail_overrun,"[0.0, 102.898, 161.295, 171.091]",,,detector_unmatched_reference_not_individually_reviewed,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
