error_type,source_id,media_id,group_key,sample_role,v1_2_gt,evaluation_scope,model_label,evidence_type,reason,status,protocol_success,latency_seconds,relative_path,error
FN,1,IMG_007520,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The black SUV is parked within a single designated parking space, aligned with the parking lines, and not occupying multiple spaces or intruding into adjacent areas. No clear violations of parking order are visible.",ok,True,14.376932,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007520.png,
FN,2,IMG_007521,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The vehicle is parked within a single designated parking space, aligned with the parking lines, and not occupying multiple spaces or the driving aisle.",ok,True,15.932029,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007521.png,
FN,3,IMG_007522,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The black SUV is parked within a single designated parking space, aligned with the parking lines, and not obstructing any driving aisles or adjacent spaces. No clear violations of parking order are visible.",ok,True,17.528092,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007522.png,
FN,4,IMG_007523,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The silver minivan is positioned within a driving lane or aisle, not occupying a marked parking space. The black van in the background is parked within a clearly defined parking space. No vehicles are visibly parked outside of designated spaces, occupying multiple spaces, or severely angled across spaces.",ok,True,12.725166,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007523.png,
FN,5,IMG_007524,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The vehicle is parked within a single designated parking space, aligned with the yellow lines, and does not obstruct any driving aisles or encroach on adjacent spaces.",ok,True,6.266439,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007524.png,
FN,6,IMG_007525,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The gray minivan is parked within a single designated parking space, aligned with the yellow lines, and does not appear to be occupying multiple spaces or intruding into the driving aisle. Other visible vehicles are also parked within their respective spaces.",ok,True,6.355172,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007525.png,
FN,7,IMG_007526,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The white van is parked within a single designated parking space, aligned with the parking lines, and not obstructing any driving aisles or adjacent spaces. No other vehicles are visible in the immediate vicinity that could be considered a violation.",ok,True,6.541966,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007526.png,
FN,8,IMG_007527,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The white van is positioned within a clearly marked parking space, aligned with the lane markings, and not obstructing any driving aisles or adjacent spaces. No substantial violations are visible.",ok,True,6.324861,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007527.png,
FN,9,IMG_007528,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The white van is parked within a clearly marked parking space, aligned with the lane, and does not obstruct any driving aisles or encroach on adjacent spaces.",ok,True,6.238134,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007528.png,
FN,10,IMG_007529,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The vehicle is positioned within a single marked parking space, aligned with the yellow lines, and does not appear to be obstructing the driving aisle or encroaching on adjacent spaces.",ok,True,5.898656,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007529.png,
FN,11,IMG_007530,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The vehicle is parked within a single designated parking space, aligned with the yellow lines, and not obstructing any driving aisles or adjacent spaces.",ok,True,5.54794,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007530.png,
FN,12,IMG_007531,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The vehicle is parked within a clearly marked parking space, aligned with the yellow lines, and not obstructing any driving aisles or adjacent spaces.",ok,True,5.684846,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007531.png,
FN,13,IMG_007532,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The red vehicle is parked within a single designated parking space, aligned with the white lines, and does not obstruct the driving aisle or other spaces.",ok,True,5.752259,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007532.png,
FN,14,IMG_007533,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The red vehicle is positioned within a single designated parking space, aligned with the parking lines, and does not appear to be obstructing any driving aisles or encroaching on adjacent spaces.",ok,True,5.819248,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007533.png,
FN,15,IMG_007534,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The red vehicle is positioned within a clearly marked parking space, aligned with the white lines, and does not appear to be obstructing the driving aisle or encroaching on adjacent spaces.",ok,True,5.900532,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007534.png,
FN,16,IMG_007535,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The white vehicle is positioned within a single designated parking space, aligned with the yellow lines, and does not appear to be obstructing the driving aisle or encroaching on adjacent spaces.",ok,True,5.901771,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007535.png,
FN,17,IMG_007536,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The white vehicle is parked within a single designated parking space, aligned with the parking lines, and does not obstruct any driving aisles or adjacent spaces.",ok,True,6.05546,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007536.png,
FN,18,IMG_007537,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The white vehicle is positioned within a clearly marked parking space, aligned with the yellow lines, and does not appear to be obstructing any driving aisles or encroaching on adjacent spaces.",ok,True,6.035831,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007537.png,
FN,19,IMG_007538,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The white vehicle is positioned within a single designated parking space, aligned with the parking lines, and does not obstruct the driving aisle or intrude into adjacent spaces.",ok,True,5.953901,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007538.png,
