media_id,label,label_binary,group_key,image_path,image_sha256,cv_group_id,cv_group_field
IMG_007350,negative,0,hn02-faded-lines-but-confirmably-inside,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007350.png,0672e381842b11cab5742c519c87268fe09f29ffd958853831362eeb430087f3,IMG_007350,media_id
IMG_007355,negative,0,hn02-faded-lines-but-confirmably-inside,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007355.png,23f8e8a546fe249ab5d2e02b29fe104a5131ae0e4ce80667a61b73897dad9d93,IMG_007355,media_id
IMG_007357,negative,0,hn02-faded-lines-but-confirmably-inside,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007357.png,cabd973ba6d16b666800001f6a9140755ba40f94024976cd2285dfec53a18c78,IMG_007357,media_id
IMG_007358,negative,0,hn02-faded-lines-but-confirmably-inside,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007358.png,eaf775ddde4273d5e4eb08d1dee3f0b4991ac9a393d6118d4b84c1b989e2f85e,IMG_007358,media_id
IMG_007359,negative,0,hn02-faded-lines-but-confirmably-inside,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007359.png,0f858350645bfb2da417651c472e17674c7e73c3c3fc5e7beb11ad38569e2cb7,IMG_007359,media_id
IMG_007360,negative,0,hn03-perspective-looks-like-crossing,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007360.png,3674b9ed6b9e649845f7425d4a0ae172234b0e4097a75bb03592cb08ec60fc38,IMG_007360,media_id
IMG_007361,negative,0,hn03-perspective-looks-like-crossing,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007361.png,dac89cc4e5fe23b0cfce2ba0ea50484551bf9d03fae59a3d57e70a2f140b36c5,IMG_007361,media_id
IMG_007363,negative,0,hn03-perspective-looks-like-crossing,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007363.png,d63fdddba84ce8d8777fcce99e1b0f1e51b1b1e89c3598e6b31bad019187df29,IMG_007363,media_id
IMG_007364,negative,0,hn03-perspective-looks-like-crossing,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007364.png,b123821fecdc6f735d4f830cfeac154a9eb2087c90deee2b54b710bcbadd9aad,IMG_007364,media_id
IMG_007367,negative,0,hn03-perspective-looks-like-crossing,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007367.png,db175b1e91bb6ccdd9597c6619674a1e777b07946d35c5c4255e3649a64cc52e,IMG_007367,media_id
IMG_007370,negative,0,hn04-large-vehicle-compliant,/home/yanbo/net_vlm_xunjian_dataset/00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007370.png,567bae0c556243c5c6176adcafdceb373c161fa47b582c2fd2dafeaff108e47c,IMG_007370,media_id
