media_id,group_key,split,image_sha256,relative_path
IMG_007537,p01-outside-legal-bay-clear,VAL,8df3e7b0927ae55040e21ba4ee2d152e36e647a438e3f3df7f7b708dcbf77813,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007537.png
IMG_007538,p01-outside-legal-bay-clear,VAL,012a5130dcb865060ed547fe250f200d13d11a61adaa6435e2544adf84248ae0,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007538.png
IMG_007544,p01-outside-legal-bay-clear,VAL,c246c7bb7f5a5d1f1788b5b0c2abdf6dd8c0f16ea40e6bde061d4e77d3e1767e,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007544.png
IMG_007553,p01-outside-legal-bay-clear,VAL,9efbabb42116c5404e59ea092da06ffb304eb6d4ab9da128bb146b8129384718,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007553.png
IMG_007532,p01-outside-legal-bay-clear,VAL,4afd38d31893fb9de8fab0cc246643a0c7019bfbbd2961f66cecabc4d6ab0f31,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007532.png
IMG_007540,p01-outside-legal-bay-clear,VAL,b098cc06023868902c46b0ea19b4a7a8e2fd450739d9f69a0144f037ae31643f,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007540.png
IMG_007526,p01-outside-legal-bay-clear,VAL,7e1acbb327a9f4577548c2ba93abcf0b17ee8b696f9987d4e81f34f1a8061d5f,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007526.png
IMG_007557,p01-outside-legal-bay-clear,VAL,49ead178a7d141750b6346a3db635367c4b60fb3eb6bc6c38df68af4f91ed134,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007557.png
IMG_007550,p01-outside-legal-bay-clear,HOLDOUT,5139a253b6d1ce8e79162844bc2560fcc29bf55dce700959e77d9e67c22eb95f,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007550.png
IMG_007523,p01-outside-legal-bay-clear,HOLDOUT,f9356a8ec08462b119432041521ee95bc38aa614c8113840ea2163a9475accfe,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007523.png
IMG_007546,p01-outside-legal-bay-clear,HOLDOUT,4258c9ddfdf0fa5fd4490e5e20c0ce3b07244de0f782cbaf136e32f2c52c685d,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007546.png
IMG_007528,p01-outside-legal-bay-clear,HOLDOUT,4b94b3c00ba8a76a41e8be8de629e5378a860ea72b646fc9f2a796cac3ee7e6d,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007528.png
IMG_007525,p01-outside-legal-bay-clear,HOLDOUT,e58d1f33401fb0671f8aabb59abb2f97defe18496aa16b75ad2cb89ac1f302d1,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007525.png
IMG_007545,p01-outside-legal-bay-clear,HOLDOUT,8672578a0fad505fac5a631781f63dfe5d5439b3ffcc42e13f35267bf4058878,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007545.png
IMG_007543,p01-outside-legal-bay-clear,HOLDOUT,fc3ed29614f9ddaa059b1c63c12195be9c938924de18bdc061c4202411daaf29,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007543.png
IMG_007522,p01-outside-legal-bay-clear,HOLDOUT,ff0a602e17a29d88005ba4c34738e4109716e0a7b507ba23a1c9141c63b10e21,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007522.png
IMG_007579,p02-cross-single-boundary-line,VAL,269878597c4be9d38b4fda159b6708c0575a1b3986e9033c6c0b58b45d97f73c,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007579.png
IMG_007572,p02-cross-single-boundary-line,VAL,5648423dd5d4b40746fc3d24b3e72f003e1f64fef79ecfb5f2df7bb7707717d7,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007572.png
