media_id,image_sha256,reference_vehicle_id,target_id,detector_target_id,raw_detection_id,label,category,review_status,label_basis,human_gold,disputed,visual_reason,source_pixel_sha256,context_crop_sha256,review_evidence
IMG_007521,0ac07929df37198dc40d070eae1572dc3dc0f3c40e6051a5fca984e999030676,T01,T01,T01,raw_0001,positive_road,road_positive,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,full vehicle visibly occupies roadway/open driving aisle outside a marked bay,0ac07929df37198dc40d070eae1572dc3dc0f3c40e6051a5fca984e999030676,a342c09f141abb4e0cbf6f4dd25a40b09c3fb9d997a2703afbdb85c14bfcfd1e,original full scene plus numbered full-vehicle context crop inspected
IMG_007533,b3edf02484db2aa4b758c813ee19476939beb85f20b3fabec56e017e89d3de0c,T01,T01,T01,raw_0001,positive_road,road_positive,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,full vehicle visibly occupies roadway/open driving aisle outside a marked bay,b3edf02484db2aa4b758c813ee19476939beb85f20b3fabec56e017e89d3de0c,aed7eb1dca5371783fbe4e4abfeb8b4bde2b1ce82ecf67b674be9c40997e07e8,original full scene plus numbered full-vehicle context crop inspected
IMG_007548,4f17bdfd1fce16f4bd783575464ee74fabb2eb6ae988f25e84d044c3757ef010,T01,T01,T01,raw_0001,positive_road,road_positive,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,full vehicle visibly occupies roadway/open driving aisle outside a marked bay,4f17bdfd1fce16f4bd783575464ee74fabb2eb6ae988f25e84d044c3757ef010,2602a4262f1e524369b2c07a2f3f1e3eaecb37313571767e8dd1020b6c2561aa,original full scene plus numbered full-vehicle context crop inspected
IMG_007555,b879ee48ab4cae9efcd4f91acd470ae42d1564602cd9b26fe99b0648632e9c30,T01,T01,T01,raw_0001,positive_road,road_positive,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,full vehicle visibly occupies roadway/open driving aisle outside a marked bay,b879ee48ab4cae9efcd4f91acd470ae42d1564602cd9b26fe99b0648632e9c30,6622ff86897930dbff2ddc8d1c31eedb5e1317f508787ab2262aa1db8d8c1492,original full scene plus numbered full-vehicle context crop inspected
IMG_007555,b879ee48ab4cae9efcd4f91acd470ae42d1564602cd9b26fe99b0648632e9c30,T05,T05,T05,raw_0005,negative_ordinary_bay,ordinary_bay,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,vehicle visibly remains within one marked bay/designated parking area,b879ee48ab4cae9efcd4f91acd470ae42d1564602cd9b26fe99b0648632e9c30,a5de8c7abfeeb0e5ee06f5f7fe17b8f75988a57e9be13ffa50b3bd2983213344,original full scene plus numbered full-vehicle context crop inspected
IMG_007555,b879ee48ab4cae9efcd4f91acd470ae42d1564602cd9b26fe99b0648632e9c30,T06,T06,T06,raw_0006,negative_ordinary_bay,ordinary_bay,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,vehicle visibly remains within one marked bay/designated parking area,b879ee48ab4cae9efcd4f91acd470ae42d1564602cd9b26fe99b0648632e9c30,884611af9d2b9736150025ae93d510739062773b5514458923955380c0f9d12d,original full scene plus numbered full-vehicle context crop inspected
IMG_007555,b879ee48ab4cae9efcd4f91acd470ae42d1564602cd9b26fe99b0648632e9c30,T07,T07,T07,raw_0007,negative_ordinary_bay,ordinary_bay,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,vehicle visibly remains within one marked bay/designated parking area,b879ee48ab4cae9efcd4f91acd470ae42d1564602cd9b26fe99b0648632e9c30,69ef6f564a6044a252052cfb4c93f5649c2867d50dcb2f3963a693620c6a92b6,original full scene plus numbered full-vehicle context crop inspected
IMG_007555,b879ee48ab4cae9efcd4f91acd470ae42d1564602cd9b26fe99b0648632e9c30,T08,T08,T08,raw_0008,negative_ordinary_bay,ordinary_bay,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,vehicle visibly remains within one marked bay/designated parking area,b879ee48ab4cae9efcd4f91acd470ae42d1564602cd9b26fe99b0648632e9c30,57ea6e44b142d47434b1e20ea4a1aae5510864d92b273173e18697b7cf83818f,original full scene plus numbered full-vehicle context crop inspected
IMG_007555,b879ee48ab4cae9efcd4f91acd470ae42d1564602cd9b26fe99b0648632e9c30,T09,T09,T09,raw_0009,negative_ordinary_bay,ordinary_bay,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,vehicle visibly remains within one marked bay/designated parking area,b879ee48ab4cae9efcd4f91acd470ae42d1564602cd9b26fe99b0648632e9c30,500db2d62dccce42b6de255269ce87bd7b264f317c5445a2076189e8e6709e98,original full scene plus numbered full-vehicle context crop inspected
IMG_007554,34c443db5a3a90bccf980fc14a8a48f9275143c41dace05edeba2dfc7f9a3865,T01,T01,T01,raw_0001,positive_road,road_positive,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,full vehicle visibly occupies roadway/open driving aisle outside a marked bay,34c443db5a3a90bccf980fc14a8a48f9275143c41dace05edeba2dfc7f9a3865,0421a0057f13b88de36d79e2e37126f256e3a9b37775a1c21c3acb8404289a33,original full scene plus numbered full-vehicle context crop inspected
IMG_007554,34c443db5a3a90bccf980fc14a8a48f9275143c41dace05edeba2dfc7f9a3865,T02,T02,T02,raw_0002,negative_ordinary_bay,ordinary_bay,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,vehicle visibly remains within one marked bay/designated parking area,34c443db5a3a90bccf980fc14a8a48f9275143c41dace05edeba2dfc7f9a3865,a4ec4d24fc10aae6c683e4ef0e613aeda21c1db5831fa9c944131de736951365,original full scene plus numbered full-vehicle context crop inspected
