media_id,group,image_sha256,label,review_status,label_basis,human_gold,disputed,vehicle_count,positive_vehicle_count,uncertain_vehicle_count
IMG_007521,p01-outside-legal-bay-clear,0ac07929df37198dc40d070eae1572dc3dc0f3c40e6051a5fca984e999030676,positive,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,1,1,0
IMG_007533,p01-outside-legal-bay-clear,b3edf02484db2aa4b758c813ee19476939beb85f20b3fabec56e017e89d3de0c,positive,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,1,1,0
IMG_007548,p01-outside-legal-bay-clear,4f17bdfd1fce16f4bd783575464ee74fabb2eb6ae988f25e84d044c3757ef010,positive,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,1,1,0
IMG_007555,p01-outside-legal-bay-clear,b879ee48ab4cae9efcd4f91acd470ae42d1564602cd9b26fe99b0648632e9c30,positive,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,6,1,0
IMG_007554,p01-outside-legal-bay-clear,34c443db5a3a90bccf980fc14a8a48f9275143c41dace05edeba2dfc7f9a3865,positive,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,4,1,0
IMG_007524,p01-outside-legal-bay-clear,262716fe416364a2a3c92434537b2182f1149ccca9ca2e6ec445c234da511fb1,positive,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,1,1,0
IMG_007531,p01-outside-legal-bay-clear,ad38ad7ee4e9725af3c640552f17acc6c63b0aa98be7acdf90f9d8007c8cad1b,positive,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,4,1,0
IMG_007536,p01-outside-legal-bay-clear,ff8320b9fa229dbe4fb3bf943b793c1800c1922365781e5ddd47404f7e84c780,positive,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,3,1,0
IMG_007547,p01-outside-legal-bay-clear,963a1794c8c5c7ca3f54267bcd2fc6c1c7bf0f8fd32286cf4d58edf6b5d7fe32,positive,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,4,1,0
IMG_007527,p01-outside-legal-bay-clear,2e417531062eed85ca3d715a29639e0b2722bdc5346a948272de66c159b70e28,positive,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,5,1,0
IMG_007529,p01-outside-legal-bay-clear,ce0389699c20b59dc2543bc4de4bd409bd193a120353c152ccde3a99a4770d07,positive,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,1,1,0
IMG_007542,p01-outside-legal-bay-clear,627b93eb15fe18566af3499d9d1ff1b99458e8874451f36528b821f06c5388d6,positive,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,2,1,0
IMG_007620,p03-span-two-bays,aa1a054f53554e3cef1dab60604b3bca6011e95d443b5f78d604cf4babcdd374,positive,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,5,1,0
IMG_007598,p03-span-two-bays,3187844b1789cf8fd2e859424b78e02d7d817e0a8d2ac2a9954625abfc217217,positive,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,2,1,0
IMG_007594,p03-span-two-bays,52fecb2cfdc2a375990b44ceadd6a0328e734844b7f80e0b820e966778e1d0b1,positive,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,5,1,0
IMG_007599,p03-span-two-bays,b7394782827a2372ed408429b1a7339ece7e7f20b9430d4f004e813f883cb25b,positive,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,3,1,0
IMG_007603,p03-span-two-bays,7c54e1ed5972188c181242becb7170c5f33bb966e7bca852ce209dadfe278bf4,positive,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,2,1,0
IMG_007601,p03-span-two-bays,635e5c52f6a69bbc108df9de7227484b8c42d9aa6b9d3b76fc996483594c806c,positive,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,9,1,0
IMG_007612,p03-span-two-bays,b53ab51e67c6e4ca7a8e02874469dc3c0b7563c0d08cf91ec0c0e9c0d18f0af1,positive,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,9,1,0
IMG_007621,p03-span-two-bays,eb6200cb0efdaaac1b287d90fdf2a072c34eef2b48f330970cc61c1227f35846,positive,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,10,1,0
IMG_007617,p03-span-two-bays,bb9f96e8a24c76741e99cbcfb0bb0bbec45c15a731eb4003a50a8b49fc72be18,positive,REVIEWED_PIXELS_ORIGINAL_PLUS_CONTEXT_CROP,AI_VISUAL_REVIEWED_PROVISIONAL,False,False,1,1,0
