error_type,source_id,media_id,group_key,sample_role,v1_2_gt,evaluation_scope,model_label,evidence_type,reason,status,protocol_success,latency_seconds,relative_path,error
FN,1,IMG_007520,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The black SUV is parked within a single designated parking space, aligned with the parking lines, and not occupying multiple spaces or intruding into adjacent areas. No clear violations of parking order are visible.",ok,True,8.918132,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007520.png,
FN,2,IMG_007521,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The vehicle is parked within a single designated parking space, aligned with the parking lines, and not occupying multiple spaces or the driving aisle.",ok,True,13.623248,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007521.png,
FN,3,IMG_007522,p01-outside-legal-bay-clear,positive,positive,primary_binary,uncertain,insufficient,image quality too low to reliably judge parking-space relationships or vehicle positioning,ok,True,21.805179,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007522.png,
FN,4,IMG_007523,p01-outside-legal-bay-clear,positive,positive,primary_binary,uncertain,insufficient,parking-space relationship cannot be judged reliably due to poor lighting and lack of visible parking lines or boundaries,ok,True,23.14851,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007523.png,
FN,5,IMG_007524,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The vehicle is parked within a single designated parking space, aligned with the yellow lines, and does not obstruct any driving aisles or encroach on adjacent spaces.",ok,True,11.671601,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007524.png,
FN,6,IMG_007525,p01-outside-legal-bay-clear,positive,positive,primary_binary,uncertain,insufficient,parking-space relationship cannot be judged reliably; no clear evidence of substantial violation visible,ok,True,22.110962,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007525.png,
FN,7,IMG_007526,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The white van is parked within a single designated parking space, aligned with the parking lines, and not obstructing any driving aisles or adjacent spaces. No other vehicles are visible in the immediate vicinity that could be considered a violation.",ok,True,22.049264,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007526.png,
FN,8,IMG_007527,p01-outside-legal-bay-clear,positive,positive,primary_binary,uncertain,insufficient,"parking-space boundaries and alignment are obscured by pillars and low resolution; cannot reliably judge if vehicle is outside space, multi-space, or severely angled",ok,True,22.200879,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007527.png,
FN,9,IMG_007528,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The white van is parked within a clearly marked parking space, aligned with the lane, and does not obstruct any driving aisles or encroach on adjacent spaces.",ok,True,16.554524,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007528.png,
FN,10,IMG_007529,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The vehicle is positioned within a single marked parking space, aligned with the yellow lines, and does not appear to be obstructing the driving aisle or encroaching on adjacent spaces.",ok,True,11.210481,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007529.png,
FN,11,IMG_007530,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The vehicle is parked within a single designated parking space, aligned with the yellow lines, and not obstructing any driving aisles or adjacent spaces.",ok,True,17.659396,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007530.png,
FN,12,IMG_007531,p01-outside-legal-bay-clear,positive,positive,primary_binary,uncertain,insufficient,image too blurry to reliably judge parking-space relationship or vehicle positioning,ok,True,23.571508,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007531.png,
FN,13,IMG_007532,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The red vehicle is parked within a single designated parking space, aligned with the white lines, and does not obstruct the driving aisle or other spaces.",ok,True,11.898485,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007532.png,
FN,14,IMG_007533,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The red vehicle is positioned within a single designated parking space, aligned with the parking lines, and does not appear to be obstructing any driving aisles or encroaching on adjacent spaces.",ok,True,12.100349,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007533.png,
FN,15,IMG_007534,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The red vehicle is positioned within a clearly marked parking space, aligned with the white lines, and does not appear to be obstructing the driving aisle or encroaching on adjacent spaces.",ok,True,11.939775,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007534.png,
FN,16,IMG_007535,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The white vehicle is positioned within a single designated parking space, aligned with the yellow lines, and does not appear to be obstructing the driving aisle or encroaching on adjacent spaces.",ok,True,12.003274,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007535.png,
FN,17,IMG_007536,p01-outside-legal-bay-clear,positive,positive,primary_binary,uncertain,insufficient,image too blurry to reliably judge parking-space relationships or vehicle positioning,ok,True,23.501458,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007536.png,
FN,18,IMG_007537,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The white vehicle is positioned within a clearly marked parking space, aligned with the yellow lines, and does not appear to be obstructing any driving aisles or encroaching on adjacent spaces.",ok,True,11.954998,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007537.png,
FN,19,IMG_007538,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The white vehicle is positioned within a single designated parking space, aligned with the parking lines, and does not obstruct the driving aisle or intrude into adjacent spaces.",ok,True,11.972946,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007538.png,
FN,20,IMG_007539,p01-outside-legal-bay-clear,positive,positive,primary_binary,uncertain,insufficient,image too blurry to reliably judge parking-space relationships or vehicle positioning,ok,True,23.872544,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007539.png,
FN,21,IMG_007540,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The white sedan is positioned within a single marked parking space, aligned with the lines, and not intruding into adjacent spaces or the driving aisle. No substantial violations are visible.",ok,True,12.321605,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007540.png,
FN,22,IMG_007541,p01-outside-legal-bay-clear,positive,positive,primary_binary,uncertain,insufficient,parking-space relationship cannot be judged reliably due to image blur and lack of visible parking lines or boundaries,ok,True,23.652021,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007541.png,
FN,23,IMG_007542,p01-outside-legal-bay-clear,positive,positive,primary_binary,uncertain,insufficient,image is too blurry to reliably judge parking-space relationships or vehicle positioning,ok,True,17.866428,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007542.png,
FN,24,IMG_007543,p01-outside-legal-bay-clear,positive,positive,primary_binary,uncertain,insufficient,image too blurry to reliably judge parking-space relationship or vehicle positioning,ok,True,23.00144,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007543.png,
FN,26,IMG_007544,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,All visible vehicles are parked within designated spaces or driving aisles; no clear violations of parking order are present.,ok,True,23.04617,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007544.png,
FN,27,IMG_007545,p01-outside-legal-bay-clear,positive,positive,primary_binary,uncertain,insufficient,image is too blurry to reliably judge parking-space relationships or vehicle positioning,ok,True,22.906843,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007545.png,
