media_id,instance_index,confidence,bbox_xyxy,mask_area_pixels,bbox_fill_ratio,aspect_ratio_long_over_short,observed_form,reviewer,not_human_gold,notes
IMG_007533,1,0.620306134223938,"[850.9205932617188,338.17620849609375,1920.0,649.0607299804688]",24030.0,0.072301,3.438831,PARKING_LINE_LIKE,codex_visual_review,true,Overlay review confirmed class 2 includes both thin separator/line shapes and broader parking-space/area shapes.
IMG_007534,1,0.80128014087677,"[1749.9954833984375,577.1678466796875,1920.0,714.9373779296875]",6880.5,0.293769,1.233978,PARKING_LINE_LIKE,codex_visual_review,true,Overlay review confirmed class 2 includes both thin separator/line shapes and broader parking-space/area shapes.
IMG_007534,2,0.679296612739563,"[1048.1077880859375,425.11322021484375,1387.4910888671875,481.99273681640625]",2254.5,0.11679,5.966705,PARKING_LINE_LIKE,codex_visual_review,true,Overlay review confirmed class 2 includes both thin separator/line shapes and broader parking-space/area shapes.
IMG_007534,3,0.5602447986602783,"[1047.8931884765625,451.8272399902344,1742.8604736328125,667.2051391601562]",10935.0,0.073056,3.226734,PARKING_LINE_LIKE,codex_visual_review,true,Overlay review confirmed class 2 includes both thin separator/line shapes and broader parking-space/area shapes.
IMG_007612,6,0.5814064741134644,"[0.0,549.4609375,647.5830688476562,803.7745971679688]",15232.5,0.092492,2.546395,PARKING_LINE_LIKE,codex_visual_review,true,Overlay review confirmed class 2 includes both thin separator/line shapes and broader parking-space/area shapes.
IMG_007612,7,0.5467565655708313,"[169.1297607421875,506.6778259277344,1920.0,810.9893798828125]",28071.0,0.052685,5.753545,PARKING_LINE_LIKE,codex_visual_review,true,Overlay review confirmed class 2 includes both thin separator/line shapes and broader parking-space/area shapes.
IMG_007612,8,0.5391935110092163,"[0.0,476.6919250488281,602.0993041992188,657.8472290039062]",4990.5,0.045754,3.323664,PARKING_LINE_LIKE,codex_visual_review,true,Overlay review confirmed class 2 includes both thin separator/line shapes and broader parking-space/area shapes.
IMG_007612,10,0.5095541477203369,"[880.0768432617188,504.5694580078125,1920.0,819.440185546875]",33268.5,0.101601,3.302699,PARKING_LINE_LIKE,codex_visual_review,true,Overlay review confirmed class 2 includes both thin separator/line shapes and broader parking-space/area shapes.
IMG_007612,19,0.2869054079055786,"[1459.5352783203125,562.4019775390625,1915.9930419921875,578.7636108398438]",5395.5,0.722444,27.898056,PARKING_LINE_LIKE,codex_visual_review,true,Overlay review confirmed class 2 includes both thin separator/line shapes and broader parking-space/area shapes.
IMG_007612,20,0.2673475444316864,"[1308.944091796875,505.48663330078125,1911.1461181640625,530.6217041015625]",2934.0,0.193837,23.958637,PARKING_LINE_LIKE,codex_visual_review,true,Overlay review confirmed class 2 includes both thin separator/line shapes and broader parking-space/area shapes.
IMG_007602,2,0.5353409647941589,"[0.0,453.3227233886719,1920.0,965.2897338867188]",95418.0,0.09707,3.750242,PARKING_LINE_LIKE,codex_visual_review,true,Overlay review confirmed class 2 includes both thin separator/line shapes and broader parking-space/area shapes.
IMG_007602,3,0.5235065817832947,"[1631.7342529296875,349.43939208984375,1919.947021484375,591.8150024414062]",7996.5,0.114472,1.189116,PARKING_LINE_LIKE,codex_visual_review,true,Overlay review confirmed class 2 includes both thin separator/line shapes and broader parking-space/area shapes.
IMG_007602,4,0.2726098299026489,"[0.0,456.372802734375,1324.849609375,935.97314453125]",70713.0,0.111289,2.762403,PARKING_LINE_LIKE,codex_visual_review,true,Overlay review confirmed class 2 includes both thin separator/line shapes and broader parking-space/area shapes.
IMG_007608,5,0.5588535666465759,"[1459.783447265625,351.80804443359375,1919.429443359375,752.4931640625]",15786.0,0.085713,1.14715,PARKING_LINE_LIKE,codex_visual_review,true,Overlay review confirmed class 2 includes both thin separator/line shapes and broader parking-space/area shapes.
