media_id,source_file,source_sha256,record_status
IMG_007350,21_parkscope_segmentation_feasibility_p0/03_inference/parkscope_predictions.jsonl,6bf5dcfb85c702a4e60af811748ea517c167449cdc8fc825b92f5423007762f0,REUSED_P0_NONSEALED
IMG_007359,21_parkscope_segmentation_feasibility_p0/03_inference/parkscope_predictions.jsonl,6bf5dcfb85c702a4e60af811748ea517c167449cdc8fc825b92f5423007762f0,REUSED_P0_NONSEALED
IMG_007361,21_parkscope_segmentation_feasibility_p0/03_inference/parkscope_predictions.jsonl,6bf5dcfb85c702a4e60af811748ea517c167449cdc8fc825b92f5423007762f0,REUSED_P0_NONSEALED
IMG_007392,21_parkscope_segmentation_feasibility_p0/03_inference/parkscope_predictions.jsonl,6bf5dcfb85c702a4e60af811748ea517c167449cdc8fc825b92f5423007762f0,REUSED_P0_NONSEALED
IMG_007396,21_parkscope_segmentation_feasibility_p0/03_inference/parkscope_predictions.jsonl,6bf5dcfb85c702a4e60af811748ea517c167449cdc8fc825b92f5423007762f0,REUSED_P0_NONSEALED
IMG_007404,21_parkscope_segmentation_feasibility_p0/03_inference/parkscope_predictions.jsonl,6bf5dcfb85c702a4e60af811748ea517c167449cdc8fc825b92f5423007762f0,REUSED_P0_NONSEALED
IMG_007413,21_parkscope_segmentation_feasibility_p0/03_inference/parkscope_predictions.jsonl,6bf5dcfb85c702a4e60af811748ea517c167449cdc8fc825b92f5423007762f0,REUSED_P0_NONSEALED
IMG_007425,21_parkscope_segmentation_feasibility_p0/03_inference/parkscope_predictions.jsonl,6bf5dcfb85c702a4e60af811748ea517c167449cdc8fc825b92f5423007762f0,REUSED_P0_NONSEALED
IMG_007445,21_parkscope_segmentation_feasibility_p0/03_inference/parkscope_predictions.jsonl,6bf5dcfb85c702a4e60af811748ea517c167449cdc8fc825b92f5423007762f0,REUSED_P0_NONSEALED
IMG_007450,21_parkscope_segmentation_feasibility_p0/03_inference/parkscope_predictions.jsonl,6bf5dcfb85c702a4e60af811748ea517c167449cdc8fc825b92f5423007762f0,REUSED_P0_NONSEALED
IMG_007530,21_parkscope_segmentation_feasibility_p0/03_inference/parkscope_predictions.jsonl,6bf5dcfb85c702a4e60af811748ea517c167449cdc8fc825b92f5423007762f0,REUSED_P0_NONSEALED
IMG_007533,21_parkscope_segmentation_feasibility_p0/03_inference/parkscope_predictions.jsonl,6bf5dcfb85c702a4e60af811748ea517c167449cdc8fc825b92f5423007762f0,REUSED_P0_NONSEALED
IMG_007534,21_parkscope_segmentation_feasibility_p0/03_inference/parkscope_predictions.jsonl,6bf5dcfb85c702a4e60af811748ea517c167449cdc8fc825b92f5423007762f0,REUSED_P0_NONSEALED
IMG_007542,21_parkscope_segmentation_feasibility_p0/03_inference/parkscope_predictions.jsonl,6bf5dcfb85c702a4e60af811748ea517c167449cdc8fc825b92f5423007762f0,REUSED_P0_NONSEALED
IMG_007556,21_parkscope_segmentation_feasibility_p0/03_inference/parkscope_predictions.jsonl,6bf5dcfb85c702a4e60af811748ea517c167449cdc8fc825b92f5423007762f0,REUSED_P0_NONSEALED
IMG_007559,21_parkscope_segmentation_feasibility_p0/03_inference/parkscope_predictions.jsonl,6bf5dcfb85c702a4e60af811748ea517c167449cdc8fc825b92f5423007762f0,REUSED_P0_NONSEALED
IMG_007562,21_parkscope_segmentation_feasibility_p0/03_inference/parkscope_predictions.jsonl,6bf5dcfb85c702a4e60af811748ea517c167449cdc8fc825b92f5423007762f0,REUSED_P0_NONSEALED
IMG_007587,21_parkscope_segmentation_feasibility_p0/03_inference/parkscope_predictions.jsonl,6bf5dcfb85c702a4e60af811748ea517c167449cdc8fc825b92f5423007762f0,REUSED_P0_NONSEALED
IMG_007593,21_parkscope_segmentation_feasibility_p0/03_inference/parkscope_predictions.jsonl,6bf5dcfb85c702a4e60af811748ea517c167449cdc8fc825b92f5423007762f0,REUSED_P0_NONSEALED
IMG_007598,21_parkscope_segmentation_feasibility_p0/03_inference/parkscope_predictions.jsonl,6bf5dcfb85c702a4e60af811748ea517c167449cdc8fc825b92f5423007762f0,REUSED_P0_NONSEALED
IMG_007602,21_parkscope_segmentation_feasibility_p0/03_inference/parkscope_predictions.jsonl,6bf5dcfb85c702a4e60af811748ea517c167449cdc8fc825b92f5423007762f0,REUSED_P0_NONSEALED
IMG_007608,21_parkscope_segmentation_feasibility_p0/03_inference/parkscope_predictions.jsonl,6bf5dcfb85c702a4e60af811748ea517c167449cdc8fc825b92f5423007762f0,REUSED_P0_NONSEALED
IMG_007612,21_parkscope_segmentation_feasibility_p0/03_inference/parkscope_predictions.jsonl,6bf5dcfb85c702a4e60af811748ea517c167449cdc8fc825b92f5423007762f0,REUSED_P0_NONSEALED
IMG_007617,21_parkscope_segmentation_feasibility_p0/03_inference/parkscope_predictions.jsonl,6bf5dcfb85c702a4e60af811748ea517c167449cdc8fc825b92f5423007762f0,REUSED_P0_NONSEALED
IMG_007626,21_parkscope_segmentation_feasibility_p0/03_inference/parkscope_predictions.jsonl,6bf5dcfb85c702a4e60af811748ea517c167449cdc8fc825b92f5423007762f0,REUSED_P0_NONSEALED
IMG_007634,21_parkscope_segmentation_feasibility_p0/03_inference/parkscope_predictions.jsonl,6bf5dcfb85c702a4e60af811748ea517c167449cdc8fc825b92f5423007762f0,REUSED_P0_NONSEALED
IMG_007637,21_parkscope_segmentation_feasibility_p0/03_inference/parkscope_predictions.jsonl,6bf5dcfb85c702a4e60af811748ea517c167449cdc8fc825b92f5423007762f0,REUSED_P0_NONSEALED
IMG_007650,21_parkscope_segmentation_feasibility_p0/03_inference/parkscope_predictions.jsonl,6bf5dcfb85c702a4e60af811748ea517c167449cdc8fc825b92f5423007762f0,REUSED_P0_NONSEALED
IMG_007654,21_parkscope_segmentation_feasibility_p0/03_inference/parkscope_predictions.jsonl,6bf5dcfb85c702a4e60af811748ea517c167449cdc8fc825b92f5423007762f0,REUSED_P0_NONSEALED
IMG_007658,21_parkscope_segmentation_feasibility_p0/03_inference/parkscope_predictions.jsonl,6bf5dcfb85c702a4e60af811748ea517c167449cdc8fc825b92f5423007762f0,REUSED_P0_NONSEALED
