outer_fold,media_id,inner_fold,inner_oof_p3_probability
0,IMG_007355,3,0.5360793471336365
0,IMG_007357,1,0.5062702298164368
0,IMG_007358,1,0.6571950316429138
0,IMG_007359,0,0.6013304591178894
0,IMG_007361,3,0.23350949585437775
0,IMG_007363,0,0.7717815041542053
0,IMG_007364,0,0.31949424743652344
0,IMG_007367,3,0.23933856189250946
0,IMG_007371,1,0.28029555082321167
0,IMG_007374,2,0.3731829822063446
0,IMG_007377,0,0.21263937652111053
0,IMG_007379,1,0.28648924827575684
0,IMG_007383,0,0.48695430159568787
0,IMG_007384,0,0.27452683448791504
0,IMG_007388,2,0.48465749621391296
0,IMG_007389,3,0.38979455828666687
0,IMG_007393,3,0.5202695727348328
0,IMG_007394,0,0.5263984203338623
0,IMG_007396,1,0.5519378781318665
0,IMG_007399,3,0.5694364309310913
0,IMG_007404,3,0.5707706212997437
0,IMG_007406,2,0.6873681545257568
0,IMG_007407,2,0.33509472012519836
0,IMG_007410,3,0.6586199998855591
0,IMG_007415,0,0.6277920603752136
0,IMG_007416,1,0.5478034019470215
0,IMG_007417,1,0.47135940194129944
0,IMG_007419,2,0.7024015784263611
0,IMG_007422,2,0.24996665120124817
0,IMG_007424,0,0.6600745916366577
0,IMG_007425,0,0.5048167705535889
0,IMG_007427,2,0.3165390193462372
0,IMG_007433,3,0.5218533873558044
0,IMG_007434,0,0.42112770676612854
0,IMG_007437,2,0.576897144317627
0,IMG_007439,1,0.49856001138687134
0,IMG_007440,3,0.24963253736495972
0,IMG_007442,0,0.37452539801597595
0,IMG_007444,0,0.40847787261009216
0,IMG_007445,3,0.49866047501564026
0,IMG_007449,2,0.23589733242988586
0,IMG_007450,0,0.4734639525413513
0,IMG_007455,3,0.7371834516525269
0,IMG_007457,2,0.39207956194877625
0,IMG_007460,0,0.47252586483955383
0,IMG_007463,3,0.18452639877796173
0,IMG_007466,2,0.4987057149410248
0,IMG_007467,2,0.2268727719783783
0,IMG_007469,1,0.3752601742744446
0,IMG_007470,2,0.48280391097068787
0,IMG_007471,2,0.6554319858551025
0,IMG_007473,2,0.5992392897605896
0,IMG_007475,3,0.5728425979614258
0,IMG_007479,1,0.5540360808372498
0,IMG_007480,0,0.032194413244724274
0,IMG_007482,3,0.5498451590538025
0,IMG_007484,1,0.6137222647666931
0,IMG_007487,2,0.36985060572624207
0,IMG_007488,3,0.6036937832832336
0,IMG_007491,1,0.5537916421890259
0,IMG_007492,1,0.4955965578556061
0,IMG_007497,0,0.9325821399688721
0,IMG_007498,1,0.4821091294288635
0,IMG_007499,2,0.32655736804008484
0,IMG_007503,3,0.7077904939651489
0,IMG_007506,1,0.5617055296897888
0,IMG_007507,1,0.5161687135696411
0,IMG_007508,3,0.556430459022522
0,IMG_007511,0,0.4754917323589325
0,IMG_007512,3,0.5739476084709167
0,IMG_007514,1,0.40016454458236694
0,IMG_007516,2,0.2677082419395447
0,IMG_007519,0,0.4155234098434448
0,IMG_007520,3,0.5835734605789185
0,IMG_007521,3,0.5603904724121094
0,IMG_007527,1,0.500005841255188
0,IMG_007531,3,0.586157500743866
0,IMG_007533,1,0.5483137965202332
0,IMG_007534,1,0.5910326242446899
0,IMG_007539,1,0.6694690585136414
0,IMG_007542,1,0.6060523986816406
0,IMG_007547,2,0.5085100531578064
0,IMG_007548,1,0.6488718390464783
0,IMG_007549,3,0.5950428247451782
0,IMG_007552,3,0.5741292238235474
0,IMG_007555,0,0.7807943224906921
0,IMG_007556,2,0.72694331407547
0,IMG_007558,3,0.6145714521408081
0,IMG_007560,2,0.5996050834655762
0,IMG_007562,1,0.47669532895088196
0,IMG_007564,1,0.134982630610466
0,IMG_007571,3,0.477883905172348
0,IMG_007577,0,0.38361600041389465
0,IMG_007580,1,0.3239881694316864
0,IMG_007581,0,0.17723101377487183
0,IMG_007584,0,0.40832194685935974
0,IMG_007585,2,0.7959475517272949
0,IMG_007587,0,0.1954355239868164
0,IMG_007588,2,0.20237134397029877
0,IMG_007592,0,0.6759117245674133
0,IMG_007593,0,0.5706090331077576
0,IMG_007598,0,0.5369117856025696
0,IMG_007601,0,0.39150142669677734
0,IMG_007602,3,0.6224901080131531
0,IMG_007603,3,0.6078470349311829
0,IMG_007608,2,0.2686898410320282
0,IMG_007609,2,0.47860515117645264
0,IMG_007611,2,0.4813021123409271
0,IMG_007614,1,0.4083001911640167
0,IMG_007617,2,0.564591646194458
0,IMG_007618,0,0.425472617149353
0,IMG_007626,3,0.2230793535709381
0,IMG_007631,1,0.49327901005744934
0,IMG_007632,2,0.47910448908805847
0,IMG_007634,3,0.42780977487564087
0,IMG_007635,1,0.5577187538146973
0,IMG_007642,0,0.3418842852115631
0,IMG_007643,2,0.3453885018825531
0,IMG_007646,0,0.3906747102737427
