sample_token,media_id,vehicle_rank,crop_x1,crop_y1,crop_x2,crop_y2,target_intersection_fraction,view_b_sha256,bytes
35fd6f09cc5058905dacb3e2c3098930ece62568b7cd4693b5e308e5dc326472,IMG_007520,1,280,0,1847,959,1.0,dd205b35414b6c9c8f4b58d15a91012c8b1abbd64abc2cd808825a0efe07a2d9,85231
0ac07929df37198dc40d070eae1572dc3dc0f3c40e6051a5fca984e999030676,IMG_007521,1,0,0,1625,868,1.0,91102241b834c002b0c4fdf829ced9d3fcb84a5262a256c7fe09a902ade62d44,103500
262716fe416364a2a3c92434537b2182f1149ccca9ca2e6ec445c234da511fb1,IMG_007524,1,0,0,1813,917,1.0,9cef97ac7d295999a6aab91bf9925b442b88467978cdca9d06c3b659b2437a2c,95716
2e417531062eed85ca3d715a29639e0b2722bdc5346a948272de66c159b70e28,IMG_007527,1,16,0,1920,977,1.0,5334d18cf61d7b9485ff4303bfaa96533eb39b3d8b8c7a94445728080452ba89,89673
2e417531062eed85ca3d715a29639e0b2722bdc5346a948272de66c159b70e28,IMG_007527,2,17,0,1920,976,1.0,e25b036ed082c00b79a25693aecc501805587de4cf8ea3ec951247d7f13c92f7,89626
ce0389699c20b59dc2543bc4de4bd409bd193a120353c152ccde3a99a4770d07,IMG_007529,1,0,0,1361,864,1.0,56daddd002e24cdcb672706ac382137bee03049b6200f3d7fa77250f4af2487d,135340
b8507d3968990975963936bd9112c102ea91f8d6ee5f6860c382f3534920506f,IMG_007530,1,0,0,1761,769,1.0,c527c573db9b27560690dad8cbd9ae0c7a16ebd00889a0a4af933d410b310169,102443
b8507d3968990975963936bd9112c102ea91f8d6ee5f6860c382f3534920506f,IMG_007530,2,0,0,1758,765,1.0,f0df309c33fd8f743ec4d6aa63b72b3dd140847246acfac837713dca851ff008,102585
ad38ad7ee4e9725af3c640552f17acc6c63b0aa98be7acdf90f9d8007c8cad1b,IMG_007531,1,509,0,1920,817,1.0,87e1f135ccf8d3cff4e9d47cb480823028ba2aeec185fd1a87d5ae08328bf315,141684
b3edf02484db2aa4b758c813ee19476939beb85f20b3fabec56e017e89d3de0c,IMG_007533,1,0,0,1455,731,1.0,d7de25954f01f468b43cbbc8d39a2bf007acd664bfc29ad644fb5127a4bcee77,94857
47bbb813df0ec3ddce5ccabf718efd3f8ff1525ca077bf9e3b506dbd04783656,IMG_007534,1,0,2,1748,883,1.0,175de7634d155ecf5744bcede88e03641b05160c12fb176d4d49ddac4d42f2f2,101677
482bb14355c7906d97f027b7b4309cc0c5dc1ebcee2645df1107d5cb418869ac,IMG_007535,1,352,14,1395,685,1.0,cdb6cef4bf29642b8749d3767ae58c9709a6d5bdad45bdd5dbcb2f1cc3380941,117518
ff8320b9fa229dbe4fb3bf943b793c1800c1922365781e5ddd47404f7e84c780,IMG_007536,1,0,0,1920,979,1.0,55d7387aeff36a8b5ebed9a92dc93d041a41f600a201b264e9b500103de47290,121440
